,data,features_cat,features_num,protected_attributes,p_att_description,target,etas,feat_dictionary,greater,k,technique,model,dir_name,model_type,disparate_impact,statistical_parity_difference,equal_opportunity_difference,average_abs_odds_difference,positive_predictive_value,negative_predictive_value,accuracy,eta
0,<__main__.NamedDataset object at 0x7f35ae438df0>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss']","['sex', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",income-per-year,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 10, 'capital-loss': 5, 'workclass': 7, 'education': 16, 'relationship': 6, 'occupation': 14}",False,5,<function no_fselection at 0x7f35ae412170>,<function base_classifier at 0x7f35ae4129e0>,adult_no_fselection_base_classifier_age_bins_5,base_model,0.4885202765817034,-0.0729514349106224,-0.0251752021563342,0.0364757174553112,0.7047970479704797,0.7977399279397315,0.7884572860617676,
0,<__main__.NamedDataset object at 0x7f35ae438df0>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss']","['sex', 'race', 'age_bins', 'marital-status']","('marital-status', ['Married-civ-spouse'])",income-per-year,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 10, 'capital-loss': 5, 'workclass': 7, 'education': 16, 'relationship': 6, 'occupation': 14}",False,5,<function no_fselection at 0x7f35ae412170>,<function base_classifier at 0x7f35ae4129e0>,adult_no_fselection_base_classifier_marital-status_5,base_model,0.2454580945370419,-0.1251102676348118,0.0333903270129894,0.0625551338174059,0.7047970479704797,0.7977399279397315,0.7884572860617676,
0,<__main__.NamedDataset object at 0x7f35ae438df0>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss']","['sex', 'race', 'age_bins', 'marital-status']","('race', ['White'])",income-per-year,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 10, 'capital-loss': 5, 'workclass': 7, 'education': 16, 'relationship': 6, 'occupation': 14}",False,5,<function no_fselection at 0x7f35ae412170>,<function base_classifier at 0x7f35ae4129e0>,adult_no_fselection_base_classifier_race_5,base_model,0.6143897616305891,-0.0406355405085337,0.0053569221806369,0.0203177702542668,0.7047970479704797,0.7977399279397315,0.7884572860617676,
0,<__main__.NamedDataset object at 0x7f35ae438df0>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss']","['sex', 'race', 'age_bins', 'marital-status']","('sex', [1])",income-per-year,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 10, 'capital-loss': 5, 'workclass': 7, 'education': 16, 'relationship': 6, 'occupation': 14}",False,5,<function no_fselection at 0x7f35ae412170>,<function base_classifier at 0x7f35ae4129e0>,adult_no_fselection_base_classifier_sex_5,base_model,0.2489840627804183,-0.0988844449657939,-0.1343431638246447,0.0494422224828969,0.7047970479704797,0.7977399279397315,0.7884572860617676,
0,<__main__.NamedDataset object at 0x7f35ae438df0>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss']","['sex', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",income-per-year,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 10, 'capital-loss': 5, 'workclass': 7, 'education': 16, 'relationship': 6, 'occupation': 14}",False,5,<function no_fselection at 0x7f35ae412170>,<function fair_classifier_adversarial at 0x7f35ae412b00>,adult_no_fselection_fair_classifier_adversarial_age_bins_5,fair_model_adversarial,1.1806737144048147,0.0227834867797248,0.2625754087505916,0.1568075602209434,0.7104430379746836,0.8246080027418388,0.8086533500405395,
0,<__main__.NamedDataset object at 0x7f35ae438df0>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss']","['sex', 'race', 'age_bins', 'marital-status']","('marital-status', ['Married-civ-spouse'])",income-per-year,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 10, 'capital-loss': 5, 'workclass': 7, 'education': 16, 'relationship': 6, 'occupation': 14}",False,5,<function no_fselection at 0x7f35ae412170>,<function fair_classifier_adversarial at 0x7f35ae412b00>,adult_no_fselection_fair_classifier_adversarial_marital-status_5,fair_model_adversarial,0.3311482939532306,-0.0574401673032328,0.1395353744991566,0.0710009902246845,0.9046979865771811,0.7926220558415223,0.7987764428392423,
0,<__main__.NamedDataset object at 0x7f35ae438df0>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss']","['sex', 'race', 'age_bins', 'marital-status']","('race', ['White'])",income-per-year,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 10, 'capital-loss': 5, 'workclass': 7, 'education': 16, 'relationship': 6, 'occupation': 14}",False,5,<function no_fselection at 0x7f35ae412170>,<function fair_classifier_adversarial at 0x7f35ae412b00>,adult_no_fselection_fair_classifier_adversarial_race_5,fair_model_adversarial,0.436474828852117,-0.094419414378117,-0.1265606121627063,0.0827121242631713,0.7565632458233891,0.8445781032078103,0.8309869536375027,
0,<__main__.NamedDataset object at 0x7f35ae438df0>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss']","['sex', 'race', 'age_bins', 'marital-status']","('sex', [1])",income-per-year,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 10, 'capital-loss': 5, 'workclass': 7, 'education': 16, 'relationship': 6, 'occupation': 14}",False,5,<function no_fselection at 0x7f35ae412170>,<function fair_classifier_adversarial at 0x7f35ae412b00>,adult_no_fselection_fair_classifier_adversarial_sex_5,fair_model_adversarial,1.5598679907973558,0.0501438443851611,0.4360248211267185,0.2442486916219325,0.7538247566063978,0.8120207766510017,0.8058524360580821,
0,<__main__.NamedDataset object at 0x7f35ae438df0>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss']","['sex', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",income-per-year,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 10, 'capital-loss': 5, 'workclass': 7, 'education': 16, 'relationship': 6, 'occupation': 14}",False,5,<function no_fselection at 0x7f35ae412170>,<function fair_classifier at 0x7f35ae412a70>,adult_no_fselection_fair_classifier_age_bins_5,fair_model,0.2672231845777297,-0.1217926532711403,-0.1071039122459258,0.0799256207938541,0.7644268774703558,0.8081612745894976,0.8040834377533721,1.0
1,<__main__.NamedDataset object at 0x7f35ae438df0>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss']","['sex', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",income-per-year,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 10, 'capital-loss': 5, 'workclass': 7, 'education': 16, 'relationship': 6, 'occupation': 14}",False,5,<function no_fselection at 0x7f35ae412170>,<function fair_classifier at 0x7f35ae412a70>,adult_no_fselection_fair_classifier_age_bins_5,fair_model,0.2584050132681509,-0.1359386287500742,-0.1182244955480701,0.0920472778170348,0.7395079594790159,0.8108329913828478,0.8035674799144984,10.0
