,data,features_cat,features_num,protected_attributes,p_att_description,target,etas,feat_dictionary,greater,k,technique,model,dir_name,model_type,disparate_impact,statistical_parity_difference,equal_opportunity_difference,average_abs_odds_difference,positive_predictive_value,negative_predictive_value,accuracy,eta
0,<__main__.NamedDataset object at 0x7f4d24803b50>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",>=10000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",False,5,<function no_fselection at 0x7f4d24820a60>,<function base_classifier at 0x7f4d248212d0>,adult_no_fselection_base_classifier_age_bins_>=10000_5,base_model,0.9047323627538136,-0.0913310970527188,-0.0195827349775351,0.1622877739366791,0.8530508727435476,0.7214580467675378,0.8401749663526245,
0,<__main__.NamedDataset object at 0x7f4d24803b50>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",>=20000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",False,5,<function no_fselection at 0x7f4d24820a60>,<function base_classifier at 0x7f4d248212d0>,adult_no_fselection_base_classifier_age_bins_>=20000_5,base_model,0.7811021727039487,-0.1724356714758406,-0.0319300065965353,0.1680677068974134,0.7485177865612648,0.7056962025316456,0.7348586810228802,
0,<__main__.NamedDataset object at 0x7f4d24803b50>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",>=30000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",False,5,<function no_fselection at 0x7f4d24820a60>,<function base_classifier at 0x7f4d248212d0>,adult_no_fselection_base_classifier_age_bins_>=30000_5,base_model,0.6406740025925104,-0.1927657390294814,-0.0416955481765589,0.1174666435213856,0.7312469753185997,0.7592656737097333,0.7475773889636609,
0,<__main__.NamedDataset object at 0x7f4d24803b50>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",>=40000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",False,5,<function no_fselection at 0x7f4d24820a60>,<function base_classifier at 0x7f4d248212d0>,adult_no_fselection_base_classifier_age_bins_>=40000_5,base_model,0.5708511676410882,-0.0987428798452519,-0.0161472966438351,0.049371439922626,0.6893667861409797,0.74394687828974,0.7347240915208614,
0,<__main__.NamedDataset object at 0x7f4d24803b50>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",>=50000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",False,5,<function no_fselection at 0x7f4d24820a60>,<function base_classifier at 0x7f4d248212d0>,adult_no_fselection_base_classifier_age_bins_>=50000_5,base_model,0.4998123642725305,-0.0708370976255395,-0.0129926033552483,0.0354185488127697,0.7075017205781142,0.8092787349891848,0.7993270524899058,
0,<__main__.NamedDataset object at 0x7f4d24803b50>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",>=60000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",False,5,<function no_fselection at 0x7f4d24820a60>,<function base_classifier at 0x7f4d248212d0>,adult_no_fselection_base_classifier_age_bins_>=60000_5,base_model,0.445456015478849,-0.0534665399167487,0.0049010061668289,0.0267332699583743,0.7715196599362381,0.8685968819599109,0.862449528936743,
0,<__main__.NamedDataset object at 0x7f4d24803b50>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",>=70000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",False,5,<function no_fselection at 0x7f4d24820a60>,<function base_classifier at 0x7f4d248212d0>,adult_no_fselection_base_classifier_age_bins_>=70000_5,base_model,0.4052602556734339,-0.0411686349595645,0.0058366199737068,0.0205843174797822,0.8153846153846154,0.9074595355383532,0.9034320323014804,
0,<__main__.NamedDataset object at 0x7f4d24803b50>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",>=80000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",False,5,<function no_fselection at 0x7f4d24820a60>,<function base_classifier at 0x7f4d248212d0>,adult_no_fselection_base_classifier_age_bins_>=80000_5,base_model,0.4508127650320757,-0.0217231044733913,0.0400220190883787,0.0108615522366956,0.8195876288659794,0.9320066334991708,0.92907133243607,
0,<__main__.NamedDataset object at 0x7f4d24803b50>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",>=90000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",False,5,<function no_fselection at 0x7f4d24820a60>,<function base_classifier at 0x7f4d248212d0>,adult_no_fselection_base_classifier_age_bins_>=90000_5,base_model,0.4192301374870159,-0.0192803697955926,0.0199386802585584,0.0096401848977963,0.8544303797468354,0.9536578657865786,0.9515477792732168,
0,<__main__.NamedDataset object at 0x7f4d24803b50>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('gender', ['Male'])",>=10000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",False,5,<function no_fselection at 0x7f4d24820a60>,<function base_classifier at 0x7f4d248212d0>,adult_no_fselection_base_classifier_gender_>=10000_5,base_model,0.8648348516886274,-0.1276900750169299,-0.0623709139669058,0.1482452751874006,0.8530508727435476,0.7214580467675378,0.8401749663526245,
