,data,features_cat,features_num,protected_attributes,p_att_description,target,etas,feat_dictionary,feature_bins,greater,k,technique,model,all_targets,dir_name,model_type,disparate_impact,statistical_parity_difference,equal_opportunity_difference,average_abs_odds_difference,positive_predictive_value,negative_predictive_value,accuracy,selected_features,mixa,mixy,eta
0,<__main__.NamedDataset object at 0x7f0b7a8828f0>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",>=10000,[20],"{'hours-per-week': 5, 'capital-gain': 10, 'capital-loss': 5, 'workclass': 9, 'relationship': 6, 'occupation': 15, 'education': 16}","{'workclass': 9, 'relationship': 6, 'occupation': 15, 'education': 16, 'gender': 2, 'race': 5, 'age_bins': 10, 'marital-status': 7, 'hours-per-week': 5, 'capital-gain': 10, 'capital-loss': 5, '>=10000': 2, '>=20000': 2, '>=30000': 2, '>=40000': 2, '>=50000': 2, '>=60000': 2, '>=70000': 2, '>=80000': 2, '>=90000': 2}",False,5,<function maximally_predictive_minimally_demographic at 0x7f0b7b42e560>,<function base_classifier at 0x7f0b7b42e680>,"['>=10000', '>=20000', '>=30000', '>=40000', '>=50000', '>=60000', '>=70000', '>=80000', '>=90000']",adult_maximally_predictive_minimally_demographic_base_classifier_age_bins_>=10000_5,base_model,0.9119494247532328,-0.0845210890060792,-0.0211458418006323,0.1670106266369787,0.848001779491362,0.7057538237436272,0.8348586810228802,"filtered_age_bins,hours-per-week,occupation,capital-loss,capital-gain,>=10000",0.1382559732415851,0.1304913536910953,
0,<__main__.NamedDataset object at 0x7f0b7a8828f0>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",>=20000,[20],"{'hours-per-week': 5, 'capital-gain': 10, 'capital-loss': 5, 'workclass': 9, 'relationship': 6, 'occupation': 15, 'education': 16}","{'workclass': 9, 'relationship': 6, 'occupation': 15, 'education': 16, 'gender': 2, 'race': 5, 'age_bins': 10, 'marital-status': 7, 'hours-per-week': 5, 'capital-gain': 10, 'capital-loss': 5, '>=10000': 2, '>=20000': 2, '>=30000': 2, '>=40000': 2, '>=50000': 2, '>=60000': 2, '>=70000': 2, '>=80000': 2, '>=90000': 2}",False,5,<function maximally_predictive_minimally_demographic at 0x7f0b7b42e560>,<function base_classifier at 0x7f0b7b42e680>,"['>=10000', '>=20000', '>=30000', '>=40000', '>=50000', '>=60000', '>=70000', '>=80000', '>=90000']",adult_maximally_predictive_minimally_demographic_base_classifier_age_bins_>=20000_5,base_model,0.8478166148377432,-0.1363281499078454,-0.0175441580673718,0.2021756935342584,0.6960524133355449,0.7940756602426838,0.714535666218035,"filtered_age_bins,capital-gain,capital-loss,occupation,hours-per-week,>=20000",0.1382559732415851,0.1481177162217494,
0,<__main__.NamedDataset object at 0x7f0b7a8828f0>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",>=30000,[20],"{'hours-per-week': 5, 'capital-gain': 10, 'capital-loss': 5, 'workclass': 9, 'relationship': 6, 'occupation': 15, 'education': 16}","{'workclass': 9, 'relationship': 6, 'occupation': 15, 'education': 16, 'gender': 2, 'race': 5, 'age_bins': 10, 'marital-status': 7, 'hours-per-week': 5, 'capital-gain': 10, 'capital-loss': 5, '>=10000': 2, '>=20000': 2, '>=30000': 2, '>=40000': 2, '>=50000': 2, '>=60000': 2, '>=70000': 2, '>=80000': 2, '>=90000': 2}",False,5,<function maximally_predictive_minimally_demographic at 0x7f0b7b42e560>,<function base_classifier at 0x7f0b7b42e680>,"['>=10000', '>=20000', '>=30000', '>=40000', '>=50000', '>=60000', '>=70000', '>=80000', '>=90000']",adult_maximally_predictive_minimally_demographic_base_classifier_age_bins_>=30000_5,base_model,0.7733102639791883,-0.0458343188670014,-0.0185336774909064,0.0610868664015327,0.6802168021680217,0.6040563655616193,0.6172947510094212,"filtered_age_bins,capital-gain,capital-loss,occupation,education,>=30000",0.16205783677379,0.1344587125162956,
0,<__main__.NamedDataset object at 0x7f0b7a8828f0>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",>=40000,[20],"{'hours-per-week': 5, 'capital-gain': 10, 'capital-loss': 5, 'workclass': 9, 'relationship': 6, 'occupation': 15, 'education': 16}","{'workclass': 9, 'relationship': 6, 'occupation': 15, 'education': 16, 'gender': 2, 'race': 5, 'age_bins': 10, 'marital-status': 7, 'hours-per-week': 5, 'capital-gain': 10, 'capital-loss': 5, '>=10000': 2, '>=20000': 2, '>=30000': 2, '>=40000': 2, '>=50000': 2, '>=60000': 2, '>=70000': 2, '>=80000': 2, '>=90000': 2}",False,5,<function maximally_predictive_minimally_demographic at 0x7f0b7b42e560>,<function base_classifier at 0x7f0b7b42e680>,"['>=10000', '>=20000', '>=30000', '>=40000', '>=50000', '>=60000', '>=70000', '>=80000', '>=90000']",adult_maximally_predictive_minimally_demographic_base_classifier_age_bins_>=40000_5,base_model,0.5916806954791605,-0.0627296123844482,-0.0140717548810172,0.0395345002960777,0.7344665885111371,0.7232780903147331,0.7245625841184388,"filtered_age_bins,capital-gain,capital-loss,occupation,education,>=40000",0.16205783677379,0.1302027912524357,
0,<__main__.NamedDataset object at 0x7f0b7a8828f0>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",>=50000,[20],"{'hours-per-week': 5, 'capital-gain': 10, 'capital-loss': 5, 'workclass': 9, 'relationship': 6, 'occupation': 15, 'education': 16}","{'workclass': 9, 'relationship': 6, 'occupation': 15, 'education': 16, 'gender': 2, 'race': 5, 'age_bins': 10, 'marital-status': 7, 'hours-per-week': 5, 'capital-gain': 10, 'capital-loss': 5, '>=10000': 2, '>=20000': 2, '>=30000': 2, '>=40000': 2, '>=50000': 2, '>=60000': 2, '>=70000': 2, '>=80000': 2, '>=90000': 2}",False,5,<function maximally_predictive_minimally_demographic at 0x7f0b7b42e560>,<function base_classifier at 0x7f0b7b42e680>,"['>=10000', '>=20000', '>=30000', '>=40000', '>=50000', '>=60000', '>=70000', '>=80000', '>=90000']",adult_maximally_predictive_minimally_demographic_base_classifier_age_bins_>=50000_5,base_model,0.5234739814847378,-0.0567152633726446,-0.0019357699258267,0.0297826946502355,0.7538091419406576,0.8057004334092411,0.8013458950201884,"filtered_age_bins,capital-gain,capital-loss,education,occupation,>=50000",0.16205783677379,0.12841888998459,
0,<__main__.NamedDataset object at 0x7f0b7a8828f0>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",>=60000,[20],"{'hours-per-week': 5, 'capital-gain': 10, 'capital-loss': 5, 'workclass': 9, 'relationship': 6, 'occupation': 15, 'education': 16}","{'workclass': 9, 'relationship': 6, 'occupation': 15, 'education': 16, 'gender': 2, 'race': 5, 'age_bins': 10, 'marital-status': 7, 'hours-per-week': 5, 'capital-gain': 10, 'capital-loss': 5, '>=10000': 2, '>=20000': 2, '>=30000': 2, '>=40000': 2, '>=50000': 2, '>=60000': 2, '>=70000': 2, '>=80000': 2, '>=90000': 2}",False,5,<function maximally_predictive_minimally_demographic at 0x7f0b7b42e560>,<function base_classifier at 0x7f0b7b42e680>,"['>=10000', '>=20000', '>=30000', '>=40000', '>=50000', '>=60000', '>=70000', '>=80000', '>=90000']",adult_maximally_predictive_minimally_demographic_base_classifier_age_bins_>=60000_5,base_model,0.4717855359436854,-0.0402946580385534,0.0228432327166504,0.0201473290192767,0.8387942332896461,0.864155494076754,0.8628532974427995,"filtered_age_bins,capital-gain,capital-loss,education,occupation,>=60000",0.16205783677379,0.1209450944248255,
0,<__main__.NamedDataset object at 0x7f0b7a8828f0>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",>=70000,[20],"{'hours-per-week': 5, 'capital-gain': 10, 'capital-loss': 5, 'workclass': 9, 'relationship': 6, 'occupation': 15, 'education': 16}","{'workclass': 9, 'relationship': 6, 'occupation': 15, 'education': 16, 'gender': 2, 'race': 5, 'age_bins': 10, 'marital-status': 7, 'hours-per-week': 5, 'capital-gain': 10, 'capital-loss': 5, '>=10000': 2, '>=20000': 2, '>=30000': 2, '>=40000': 2, '>=50000': 2, '>=60000': 2, '>=70000': 2, '>=80000': 2, '>=90000': 2}",False,5,<function maximally_predictive_minimally_demographic at 0x7f0b7b42e560>,<function base_classifier at 0x7f0b7b42e680>,"['>=10000', '>=20000', '>=30000', '>=40000', '>=50000', '>=60000', '>=70000', '>=80000', '>=90000']",adult_maximally_predictive_minimally_demographic_base_classifier_age_bins_>=70000_5,base_model,0.4596994850911777,-0.0278593943763687,0.0417176662586699,0.0139296971881843,0.8411764705882353,0.9013240418118468,0.8992597577388963,"filtered_age_bins,capital-gain,capital-loss,education,occupation,>=70000",0.16205783677379,0.1124359564252745,
0,<__main__.NamedDataset object at 0x7f0b7a8828f0>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",>=80000,[20],"{'hours-per-week': 5, 'capital-gain': 10, 'capital-loss': 5, 'workclass': 9, 'relationship': 6, 'occupation': 15, 'education': 16}","{'workclass': 9, 'relationship': 6, 'occupation': 15, 'education': 16, 'gender': 2, 'race': 5, 'age_bins': 10, 'marital-status': 7, 'hours-per-week': 5, 'capital-gain': 10, 'capital-loss': 5, '>=10000': 2, '>=20000': 2, '>=30000': 2, '>=40000': 2, '>=50000': 2, '>=60000': 2, '>=70000': 2, '>=80000': 2, '>=90000': 2}",False,5,<function maximally_predictive_minimally_demographic at 0x7f0b7b42e560>,<function base_classifier at 0x7f0b7b42e680>,"['>=10000', '>=20000', '>=30000', '>=40000', '>=50000', '>=60000', '>=70000', '>=80000', '>=90000']",adult_maximally_predictive_minimally_demographic_base_classifier_age_bins_>=80000_5,base_model,0.4464145917146896,-0.0195509591483422,0.0403864194946464,0.0097754795741711,0.855072463768116,0.9306234929383396,0.9288694481830416,"filtered_age_bins,capital-gain,capital-loss,education,occupation,>=80000",0.16205783677379,0.102914686160868,
0,<__main__.NamedDataset object at 0x7f0b7a8828f0>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",>=90000,[20],"{'hours-per-week': 5, 'capital-gain': 10, 'capital-loss': 5, 'workclass': 9, 'relationship': 6, 'occupation': 15, 'education': 16}","{'workclass': 9, 'relationship': 6, 'occupation': 15, 'education': 16, 'gender': 2, 'race': 5, 'age_bins': 10, 'marital-status': 7, 'hours-per-week': 5, 'capital-gain': 10, 'capital-loss': 5, '>=10000': 2, '>=20000': 2, '>=30000': 2, '>=40000': 2, '>=50000': 2, '>=60000': 2, '>=70000': 2, '>=80000': 2, '>=90000': 2}",False,5,<function maximally_predictive_minimally_demographic at 0x7f0b7b42e560>,<function base_classifier at 0x7f0b7b42e680>,"['>=10000', '>=20000', '>=30000', '>=40000', '>=50000', '>=60000', '>=70000', '>=80000', '>=90000']",adult_maximally_predictive_minimally_demographic_base_classifier_age_bins_>=90000_5,base_model,0.4148171886713631,-0.0196335394936325,0.0176050149393637,0.0098167697468162,0.8710691823899371,0.9541328565534316,0.9523553162853298,"filtered_age_bins,capital-gain,capital-loss,education,occupation,>=90000",0.16205783677379,0.0957375534417152,
0,<__main__.NamedDataset object at 0x7f0b7a8828f0>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('gender', ['Male'])",>=10000,[20],"{'hours-per-week': 5, 'capital-gain': 10, 'capital-loss': 5, 'workclass': 9, 'relationship': 6, 'occupation': 15, 'education': 16}","{'workclass': 9, 'relationship': 6, 'occupation': 15, 'education': 16, 'gender': 2, 'race': 5, 'age_bins': 10, 'marital-status': 7, 'hours-per-week': 5, 'capital-gain': 10, 'capital-loss': 5, '>=10000': 2, '>=20000': 2, '>=30000': 2, '>=40000': 2, '>=50000': 2, '>=60000': 2, '>=70000': 2, '>=80000': 2, '>=90000': 2}",False,5,<function maximally_predictive_minimally_demographic at 0x7f0b7b42e560>,<function base_classifier at 0x7f0b7b42e680>,"['>=10000', '>=20000', '>=30000', '>=40000', '>=50000', '>=60000', '>=70000', '>=80000', '>=90000']",adult_maximally_predictive_minimally_demographic_base_classifier_gender_>=10000_5,base_model,0.8998270381272863,-0.093763671548029,-0.027564434540889,0.1398656984782486,0.8510970621048717,0.7187279151943463,0.8384925975773889,"filtered_gender,education,capital-gain,hours-per-week,workclass,>=10000",0.0498143400791205,0.1280874264405292,
