,data,features_cat,features_num,protected_attributes,p_att_description,target,etas,feat_dictionary,technique,model,dir_name,model_type,disparate_impact,statistical_parity_difference,equal_opportunity_difference,accuracy,eta
0,<__main__.NamedDataset object at 0x7f2928de55a0>,['c_charge_degree'],"['juv_fel_count', 'juv_misd_count', 'juv_other_count', 'priors_count']","['sex', 'age_cat', 'race']","('age_cat', ['Greater than 45'])",two_year_recid,"[1, 10, 20, 30]","{'juv_fel_count': 9, 'juv_misd_count': 8, 'juv_other_count': 8, 'priors_count': 15, 'c_charge_degree': 2}",<function maximally_predictive_minimally_demographic at 0x7f292be323b0>,<function base_classifier at 0x7f292be32440>,adult_maximally_predictive_minimally_demographic_base_classifier_age_cat,base_model,1.028006589785832,0.0007181176868162,-0.0546218487394957,0.8566084788029925,
0,<__main__.NamedDataset object at 0x7f2928de55a0>,['c_charge_degree'],"['juv_fel_count', 'juv_misd_count', 'juv_other_count', 'priors_count']","['sex', 'age_cat', 'race']","('race', ['Caucasian', 'Asian', 'Hispanic'])",two_year_recid,"[1, 10, 20, 30]","{'juv_fel_count': 9, 'juv_misd_count': 8, 'juv_other_count': 8, 'priors_count': 15, 'c_charge_degree': 2}",<function maximally_predictive_minimally_demographic at 0x7f292be323b0>,<function base_classifier at 0x7f292be32440>,adult_maximally_predictive_minimally_demographic_base_classifier_race,base_model,6.515837104072398,0.0306435394670688,0.15,0.8628428927680798,
0,<__main__.NamedDataset object at 0x7f2928de55a0>,['c_charge_degree'],"['juv_fel_count', 'juv_misd_count', 'juv_other_count', 'priors_count']","['sex', 'age_cat', 'race']","('sex', ['Female'])",two_year_recid,"[1, 10, 20, 30]","{'juv_fel_count': 9, 'juv_misd_count': 8, 'juv_other_count': 8, 'priors_count': 15, 'c_charge_degree': 2}",<function maximally_predictive_minimally_demographic at 0x7f292be323b0>,<function base_classifier at 0x7f292be32440>,adult_maximally_predictive_minimally_demographic_base_classifier_sex,base_model,4.829721362229102,0.024549495911725,-0.008307372793354,0.8591022443890274,
0,<__main__.NamedDataset object at 0x7f2928de55a0>,['c_charge_degree'],"['juv_fel_count', 'juv_misd_count', 'juv_other_count', 'priors_count']","['sex', 'age_cat', 'race']","('age_cat', ['Greater than 45'])",two_year_recid,"[1, 10, 20, 30]","{'juv_fel_count': 9, 'juv_misd_count': 8, 'juv_other_count': 8, 'priors_count': 15, 'c_charge_degree': 2}",<function maximally_predictive_minimally_demographic at 0x7f292be323b0>,<function fair_classifier at 0x7f292be324d0>,adult_maximally_predictive_minimally_demographic_fair_classifier_age_cat,fair_model,inf,0.0373626373626373,0.1111111111111111,0.8362427265170407,1.0
1,<__main__.NamedDataset object at 0x7f2928de55a0>,['c_charge_degree'],"['juv_fel_count', 'juv_misd_count', 'juv_other_count', 'priors_count']","['sex', 'age_cat', 'race']","('age_cat', ['Greater than 45'])",two_year_recid,"[1, 10, 20, 30]","{'juv_fel_count': 9, 'juv_misd_count': 8, 'juv_other_count': 8, 'priors_count': 15, 'c_charge_degree': 2}",<function maximally_predictive_minimally_demographic at 0x7f292be323b0>,<function fair_classifier at 0x7f292be324d0>,adult_maximally_predictive_minimally_demographic_fair_classifier_age_cat,fair_model,0.8371428571428571,-0.0055582642613359,-0.0091787439613526,0.827930174563591,10.0
2,<__main__.NamedDataset object at 0x7f2928de55a0>,['c_charge_degree'],"['juv_fel_count', 'juv_misd_count', 'juv_other_count', 'priors_count']","['sex', 'age_cat', 'race']","('age_cat', ['Greater than 45'])",two_year_recid,"[1, 10, 20, 30]","{'juv_fel_count': 9, 'juv_misd_count': 8, 'juv_other_count': 8, 'priors_count': 15, 'c_charge_degree': 2}",<function maximally_predictive_minimally_demographic at 0x7f292be323b0>,<function fair_classifier at 0x7f292be324d0>,adult_maximally_predictive_minimally_demographic_fair_classifier_age_cat,fair_model,0.5724053724053724,-0.0262686119341409,-0.1229468599033816,0.8262676641729011,20.0
3,<__main__.NamedDataset object at 0x7f2928de55a0>,['c_charge_degree'],"['juv_fel_count', 'juv_misd_count', 'juv_other_count', 'priors_count']","['sex', 'age_cat', 'race']","('age_cat', ['Greater than 45'])",two_year_recid,"[1, 10, 20, 30]","{'juv_fel_count': 9, 'juv_misd_count': 8, 'juv_other_count': 8, 'priors_count': 15, 'c_charge_degree': 2}",<function maximally_predictive_minimally_demographic at 0x7f292be323b0>,<function fair_classifier at 0x7f292be324d0>,adult_maximally_predictive_minimally_demographic_fair_classifier_age_cat,fair_model,0.5724053724053724,-0.0262686119341409,-0.1229468599033816,0.8262676641729011,30.0
0,<__main__.NamedDataset object at 0x7f2928de55a0>,['c_charge_degree'],"['juv_fel_count', 'juv_misd_count', 'juv_other_count', 'priors_count']","['sex', 'age_cat', 'race']","('race', ['Caucasian', 'Asian', 'Hispanic'])",two_year_recid,"[1, 10, 20, 30]","{'juv_fel_count': 9, 'juv_misd_count': 8, 'juv_other_count': 8, 'priors_count': 15, 'c_charge_degree': 2}",<function maximally_predictive_minimally_demographic at 0x7f292be323b0>,<function fair_classifier at 0x7f292be324d0>,adult_maximally_predictive_minimally_demographic_fair_classifier_race,fair_model,5.474732006125574,0.032543505499095,0.1145038167938931,0.8362427265170407,1.0
1,<__main__.NamedDataset object at 0x7f2928de55a0>,['c_charge_degree'],"['juv_fel_count', 'juv_misd_count', 'juv_other_count', 'priors_count']","['sex', 'age_cat', 'race']","('race', ['Caucasian', 'Asian', 'Hispanic'])",two_year_recid,"[1, 10, 20, 30]","{'juv_fel_count': 9, 'juv_misd_count': 8, 'juv_other_count': 8, 'priors_count': 15, 'c_charge_degree': 2}",<function maximally_predictive_minimally_demographic at 0x7f292be323b0>,<function fair_classifier at 0x7f292be324d0>,adult_maximally_predictive_minimally_demographic_fair_classifier_race,fair_model,inf,0.009188361408882,0.0381679389312977,0.8395677472984207,10.0
2,<__main__.NamedDataset object at 0x7f2928de55a0>,['c_charge_degree'],"['juv_fel_count', 'juv_misd_count', 'juv_other_count', 'priors_count']","['sex', 'age_cat', 'race']","('race', ['Caucasian', 'Asian', 'Hispanic'])",two_year_recid,"[1, 10, 20, 30]","{'juv_fel_count': 9, 'juv_misd_count': 8, 'juv_other_count': 8, 'priors_count': 15, 'c_charge_degree': 2}",<function maximally_predictive_minimally_demographic at 0x7f292be323b0>,<function fair_classifier at 0x7f292be324d0>,adult_maximally_predictive_minimally_demographic_fair_classifier_race,fair_model,inf,0.004594180704441,0.015267175572519,0.8370739817123857,20.0
