,data,features_cat,features_num,protected_attributes,p_att_description,target,etas,feat_dictionary,technique,model,dir_name,model_type,disparate_impact,statistical_parity_difference,equal_opportunity_difference,accuracy,eta,fs
0,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",>=10000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function maximally_predictive_minimally_demographic at 0x7f5ed0a1a3b0>,<function base_classifier at 0x7f5ed0a1a440>,adult_maximally_predictive_minimally_demographic_base_classifier_age_bins_>=10000,base_model,0.9091657540523956,-0.0868891145028459,-0.0262086027180367,0.8331482789946503,,MPMD
1,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",>=20000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function maximally_predictive_minimally_demographic at 0x7f5ed0a1a3b0>,<function base_classifier at 0x7f5ed0a1a440>,adult_maximally_predictive_minimally_demographic_base_classifier_age_bins_>=20000,base_model,0.8507615290998601,-0.1335874024476887,-0.0168036268852616,0.7138386999091552,,MPMD
2,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",>=30000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function maximally_predictive_minimally_demographic at 0x7f5ed0a1a3b0>,<function base_classifier at 0x7f5ed0a1a440>,adult_maximally_predictive_minimally_demographic_base_classifier_age_bins_>=30000,base_model,0.7397926339998784,-0.104813401399943,-0.0146590533144046,0.6867871202180277,,MPMD
3,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",>=40000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function maximally_predictive_minimally_demographic at 0x7f5ed0a1a3b0>,<function base_classifier at 0x7f5ed0a1a440>,adult_maximally_predictive_minimally_demographic_base_classifier_age_bins_>=40000,base_model,0.5340713005890457,-0.1003178052492335,-0.0564268187935984,0.7456343999192491,,MPMD
4,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",>=50000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function maximally_predictive_minimally_demographic at 0x7f5ed0a1a3b0>,<function base_classifier at 0x7f5ed0a1a440>,adult_maximally_predictive_minimally_demographic_base_classifier_age_bins_>=50000,base_model,0.5165904952749327,-0.0627305766195134,-0.0257222859329967,0.8053901281921874,,MPMD
5,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",>=60000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function maximally_predictive_minimally_demographic at 0x7f5ed0a1a3b0>,<function base_classifier at 0x7f5ed0a1a440>,adult_maximally_predictive_minimally_demographic_base_classifier_age_bins_>=60000,base_model,0.4645848869999236,-0.0490608127907909,-0.0164873323265786,0.8584839002725345,,MPMD
6,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",>=70000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function maximally_predictive_minimally_demographic at 0x7f5ed0a1a3b0>,<function base_classifier at 0x7f5ed0a1a440>,adult_maximally_predictive_minimally_demographic_base_classifier_age_bins_>=70000,base_model,0.4054216747300251,-0.0437745694981602,-0.0125868055555555,0.900777228222469,,MPMD
7,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",>=80000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function maximally_predictive_minimally_demographic at 0x7f5ed0a1a3b0>,<function base_classifier at 0x7f5ed0a1a440>,adult_maximally_predictive_minimally_demographic_base_classifier_age_bins_>=80000,base_model,0.3531860848566179,-0.036143468245565,-0.0044836716681377,0.932471989502372,,MPMD
8,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",>=90000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function maximally_predictive_minimally_demographic at 0x7f5ed0a1a3b0>,<function base_classifier at 0x7f5ed0a1a440>,adult_maximally_predictive_minimally_demographic_base_classifier_age_bins_>=90000,base_model,0.2940361252440006,-0.0289789196470285,-0.0541946696292059,0.9522559806197638,,MPMD
9,<__main__.NamedDataset object at 0x7f5ed09e7970>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('gender', ['Male'])",>=10000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function maximally_predictive_minimally_demographic at 0x7f5ed0a1a3b0>,<function base_classifier at 0x7f5ed0a1a440>,adult_maximally_predictive_minimally_demographic_base_classifier_gender_>=10000,base_model,0.8973473221546057,-0.0959032953087035,-0.026873828585973,0.8390027253457152,,MPMD
