,data,features_cat,features_num,protected_attributes,p_att_description,target,etas,feat_dictionary,technique,model,dir_name,model_type,disparate_impact,statistical_parity_difference,equal_opportunity_difference,accuracy,eta
0,<__main__.NamedDataset object at 0x7fcc3d45b3d0>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss', 'education-num']","['sex', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",income-per-year,"[1, 10, 20, 30]","{'hours-per-week': 3, 'capital-gain': 10, 'capital-loss': 5, 'education-num': 5, 'workclass': 7, 'education': 16, 'relationship': 6, 'occupation': 14}",<function maximally_predictive_minimally_demographic at 0x7fcc3d48a3b0>,<function base_classifier at 0x7fcc3d48a440>,adult_maximally_predictive_minimally_demographic_base_classifier_age_bins,base_model,0.4802288609364081,-0.0749469733229211,-0.0462801626273826,0.7980099502487562,
0,<__main__.NamedDataset object at 0x7fcc3d45b3d0>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss', 'education-num']","['sex', 'race', 'age_bins', 'marital-status']","('marital-status', ['Married-civ-spouse'])",income-per-year,"[1, 10, 20, 30]","{'hours-per-week': 3, 'capital-gain': 10, 'capital-loss': 5, 'education-num': 5, 'workclass': 7, 'education': 16, 'relationship': 6, 'occupation': 14}",<function maximally_predictive_minimally_demographic at 0x7fcc3d48a3b0>,<function base_classifier at 0x7fcc3d48a440>,adult_maximally_predictive_minimally_demographic_base_classifier_marital-status,base_model,0.3755488130421722,-0.0933827073405223,0.0921751593092873,0.7980099502487562,
0,<__main__.NamedDataset object at 0x7fcc3d45b3d0>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss', 'education-num']","['sex', 'race', 'age_bins', 'marital-status']","('race', ['White'])",income-per-year,"[1, 10, 20, 30]","{'hours-per-week': 3, 'capital-gain': 10, 'capital-loss': 5, 'education-num': 5, 'workclass': 7, 'education': 16, 'relationship': 6, 'occupation': 14}",<function maximally_predictive_minimally_demographic at 0x7fcc3d48a3b0>,<function base_classifier at 0x7fcc3d48a440>,adult_maximally_predictive_minimally_demographic_base_classifier_race,base_model,0.5952477182325028,-0.0617155252317359,-0.0591225499175673,0.8141514648977336,
0,<__main__.NamedDataset object at 0x7fcc3d45b3d0>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss', 'education-num']","['sex', 'race', 'age_bins', 'marital-status']","('sex', [1])",income-per-year,"[1, 10, 20, 30]","{'hours-per-week': 3, 'capital-gain': 10, 'capital-loss': 5, 'education-num': 5, 'workclass': 7, 'education': 16, 'relationship': 6, 'occupation': 14}",<function maximally_predictive_minimally_demographic at 0x7fcc3d48a3b0>,<function base_classifier at 0x7fcc3d48a440>,adult_maximally_predictive_minimally_demographic_base_classifier_sex,base_model,0.4799240505119062,-0.0737314341724502,-0.0487590062624084,0.7986733001658375,
0,<__main__.NamedDataset object at 0x7fcc3d45b3d0>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss', 'education-num']","['sex', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",income-per-year,"[1, 10, 20, 30]","{'hours-per-week': 3, 'capital-gain': 10, 'capital-loss': 5, 'education-num': 5, 'workclass': 7, 'education': 16, 'relationship': 6, 'occupation': 14}",<function maximally_predictive_minimally_demographic at 0x7fcc3d48a3b0>,<function fair_classifier at 0x7fcc3d48a4d0>,adult_maximally_predictive_minimally_demographic_fair_classifier_age_bins,fair_model,0.23830742007771,-0.1651407781773409,-0.1857328106037979,0.8089481830913245,1.0
1,<__main__.NamedDataset object at 0x7fcc3d45b3d0>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss', 'education-num']","['sex', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",income-per-year,"[1, 10, 20, 30]","{'hours-per-week': 3, 'capital-gain': 10, 'capital-loss': 5, 'education-num': 5, 'workclass': 7, 'education': 16, 'relationship': 6, 'occupation': 14}",<function maximally_predictive_minimally_demographic at 0x7fcc3d48a3b0>,<function fair_classifier at 0x7fcc3d48a4d0>,adult_maximally_predictive_minimally_demographic_fair_classifier_age_bins,fair_model,0.356929907919364,-0.0704799144685654,-0.0644533834387487,0.801651065084396,10.0
2,<__main__.NamedDataset object at 0x7fcc3d45b3d0>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss', 'education-num']","['sex', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",income-per-year,"[1, 10, 20, 30]","{'hours-per-week': 3, 'capital-gain': 10, 'capital-loss': 5, 'education-num': 5, 'workclass': 7, 'education': 16, 'relationship': 6, 'occupation': 14}",<function maximally_predictive_minimally_demographic at 0x7fcc3d48a3b0>,<function fair_classifier at 0x7fcc3d48a4d0>,adult_maximally_predictive_minimally_demographic_fair_classifier_age_bins,fair_model,0.356929907919364,-0.0704799144685654,-0.0644533834387487,0.801651065084396,20.0
3,<__main__.NamedDataset object at 0x7fcc3d45b3d0>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss', 'education-num']","['sex', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",income-per-year,"[1, 10, 20, 30]","{'hours-per-week': 3, 'capital-gain': 10, 'capital-loss': 5, 'education-num': 5, 'workclass': 7, 'education': 16, 'relationship': 6, 'occupation': 14}",<function maximally_predictive_minimally_demographic at 0x7fcc3d48a3b0>,<function fair_classifier at 0x7fcc3d48a4d0>,adult_maximally_predictive_minimally_demographic_fair_classifier_age_bins,fair_model,0.3659284633574214,-0.0409266475471763,-0.0282561273907503,0.7887521191125525,30.0
0,<__main__.NamedDataset object at 0x7fcc3d45b3d0>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss', 'education-num']","['sex', 'race', 'age_bins', 'marital-status']","('marital-status', ['Married-civ-spouse'])",income-per-year,"[1, 10, 20, 30]","{'hours-per-week': 3, 'capital-gain': 10, 'capital-loss': 5, 'education-num': 5, 'workclass': 7, 'education': 16, 'relationship': 6, 'occupation': 14}",<function maximally_predictive_minimally_demographic at 0x7fcc3d48a3b0>,<function fair_classifier at 0x7fcc3d48a4d0>,adult_maximally_predictive_minimally_demographic_fair_classifier_marital-status,fair_model,0.0973294722337135,-0.198791331047274,-0.111458308689972,0.8194147563941918,1.0
1,<__main__.NamedDataset object at 0x7fcc3d45b3d0>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss', 'education-num']","['sex', 'race', 'age_bins', 'marital-status']","('marital-status', ['Married-civ-spouse'])",income-per-year,"[1, 10, 20, 30]","{'hours-per-week': 3, 'capital-gain': 10, 'capital-loss': 5, 'education-num': 5, 'workclass': 7, 'education': 16, 'relationship': 6, 'occupation': 14}",<function maximally_predictive_minimally_demographic at 0x7fcc3d48a3b0>,<function fair_classifier at 0x7fcc3d48a4d0>,adult_maximally_predictive_minimally_demographic_fair_classifier_marital-status,fair_model,0.195795548227535,-0.0846531001865752,0.049918249756195,0.7945750718655561,10.0
2,<__main__.NamedDataset object at 0x7fcc3d45b3d0>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss', 'education-num']","['sex', 'race', 'age_bins', 'marital-status']","('marital-status', ['Married-civ-spouse'])",income-per-year,"[1, 10, 20, 30]","{'hours-per-week': 3, 'capital-gain': 10, 'capital-loss': 5, 'education-num': 5, 'workclass': 7, 'education': 16, 'relationship': 6, 'occupation': 14}",<function maximally_predictive_minimally_demographic at 0x7fcc3d48a3b0>,<function fair_classifier at 0x7fcc3d48a4d0>,adult_maximally_predictive_minimally_demographic_fair_classifier_marital-status,fair_model,0.2221999764456483,-0.0692587077739604,0.0651820191521632,0.7910370752561362,20.0
3,<__main__.NamedDataset object at 0x7fcc3d45b3d0>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss', 'education-num']","['sex', 'race', 'age_bins', 'marital-status']","('marital-status', ['Married-civ-spouse'])",income-per-year,"[1, 10, 20, 30]","{'hours-per-week': 3, 'capital-gain': 10, 'capital-loss': 5, 'education-num': 5, 'workclass': 7, 'education': 16, 'relationship': 6, 'occupation': 14}",<function maximally_predictive_minimally_demographic at 0x7fcc3d48a3b0>,<function fair_classifier at 0x7fcc3d48a4d0>,adult_maximally_predictive_minimally_demographic_fair_classifier_marital-status,fair_model,0.2249277747415895,-0.0658115071216395,0.0645176341321725,0.790668533942655,30.0
0,<__main__.NamedDataset object at 0x7fcc3d45b3d0>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss', 'education-num']","['sex', 'race', 'age_bins', 'marital-status']","('race', ['White'])",income-per-year,"[1, 10, 20, 30]","{'hours-per-week': 3, 'capital-gain': 10, 'capital-loss': 5, 'education-num': 5, 'workclass': 7, 'education': 16, 'relationship': 6, 'occupation': 14}",<function maximally_predictive_minimally_demographic at 0x7fcc3d48a3b0>,<function fair_classifier at 0x7fcc3d48a4d0>,adult_maximally_predictive_minimally_demographic_fair_classifier_race,fair_model,0.3927943945513471,-0.0916299931736468,-0.1346508144790382,0.821552296012383,1.0
1,<__main__.NamedDataset object at 0x7fcc3d45b3d0>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss', 'education-num']","['sex', 'race', 'age_bins', 'marital-status']","('race', ['White'])",income-per-year,"[1, 10, 20, 30]","{'hours-per-week': 3, 'capital-gain': 10, 'capital-loss': 5, 'education-num': 5, 'workclass': 7, 'education': 16, 'relationship': 6, 'occupation': 14}",<function maximally_predictive_minimally_demographic at 0x7fcc3d48a3b0>,<function fair_classifier at 0x7fcc3d48a4d0>,adult_maximally_predictive_minimally_demographic_fair_classifier_race,fair_model,0.3927943945513471,-0.0916299931736468,-0.1346508144790382,0.821552296012383,10.0
2,<__main__.NamedDataset object at 0x7fcc3d45b3d0>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss', 'education-num']","['sex', 'race', 'age_bins', 'marital-status']","('race', ['White'])",income-per-year,"[1, 10, 20, 30]","{'hours-per-week': 3, 'capital-gain': 10, 'capital-loss': 5, 'education-num': 5, 'workclass': 7, 'education': 16, 'relationship': 6, 'occupation': 14}",<function maximally_predictive_minimally_demographic at 0x7fcc3d48a3b0>,<function fair_classifier at 0x7fcc3d48a4d0>,adult_maximally_predictive_minimally_demographic_fair_classifier_race,fair_model,0.3927943945513471,-0.0916299931736468,-0.1346508144790382,0.821552296012383,20.0
3,<__main__.NamedDataset object at 0x7fcc3d45b3d0>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss', 'education-num']","['sex', 'race', 'age_bins', 'marital-status']","('race', ['White'])",income-per-year,"[1, 10, 20, 30]","{'hours-per-week': 3, 'capital-gain': 10, 'capital-loss': 5, 'education-num': 5, 'workclass': 7, 'education': 16, 'relationship': 6, 'occupation': 14}",<function maximally_predictive_minimally_demographic at 0x7fcc3d48a3b0>,<function fair_classifier at 0x7fcc3d48a4d0>,adult_maximally_predictive_minimally_demographic_fair_classifier_race,fair_model,0.3927943945513471,-0.0916299931736468,-0.1346508144790382,0.821552296012383,30.0
0,<__main__.NamedDataset object at 0x7fcc3d45b3d0>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss', 'education-num']","['sex', 'race', 'age_bins', 'marital-status']","('sex', [1])",income-per-year,"[1, 10, 20, 30]","{'hours-per-week': 3, 'capital-gain': 10, 'capital-loss': 5, 'education-num': 5, 'workclass': 7, 'education': 16, 'relationship': 6, 'occupation': 14}",<function maximally_predictive_minimally_demographic at 0x7fcc3d48a3b0>,<function fair_classifier at 0x7fcc3d48a4d0>,adult_maximally_predictive_minimally_demographic_fair_classifier_sex,fair_model,0.1832416009811897,-0.1379562170224588,-0.1894484163580237,0.8141077614800619,1.0
