,data,features_cat,features_num,protected_attributes,p_att_description,target,etas,feat_dictionary,technique,model,dir_name,model_type,disparate_impact,statistical_parity_difference,equal_opportunity_difference,accuracy,eta
0,<__main__.NamedDataset object at 0x7f01885e0af0>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",>=10000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function sequential_fs at 0x7f01885c5f30>,<function base_classifier at 0x7f01885c60e0>,adult_sequential_fs_base_classifier_age_bins_>=10000,base_model,0.9129672183457008,-0.0823307987471283,-0.0180808813827682,0.8352679923286565,
0,<__main__.NamedDataset object at 0x7f01885e0af0>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",>=20000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function sequential_fs at 0x7f01885c5f30>,<function base_classifier at 0x7f01885c60e0>,adult_sequential_fs_base_classifier_age_bins_>=20000,base_model,0.7695941770039991,-0.177990939004061,-0.0286425304455053,0.7484606843645907,
0,<__main__.NamedDataset object at 0x7f01885e0af0>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",>=30000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function sequential_fs at 0x7f01885c5f30>,<function base_classifier at 0x7f01885c60e0>,adult_sequential_fs_base_classifier_age_bins_>=30000,base_model,0.6228915567881064,-0.2195138660433639,-0.062009874744023,0.7615827192893914,
0,<__main__.NamedDataset object at 0x7f01885e0af0>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",>=40000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function sequential_fs at 0x7f01885c5f30>,<function base_classifier at 0x7f01885c60e0>,adult_sequential_fs_base_classifier_age_bins_>=40000,base_model,0.5785408441892943,-0.1086016309861802,-0.0282481945183999,0.7525991723024125,
0,<__main__.NamedDataset object at 0x7f01885e0af0>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",>=50000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function sequential_fs at 0x7f01885c5f30>,<function base_classifier at 0x7f01885c60e0>,adult_sequential_fs_base_classifier_age_bins_>=50000,base_model,0.5193487170326185,-0.0641547263282733,-0.027000738149676,0.8053901281921874,
0,<__main__.NamedDataset object at 0x7f01885e0af0>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",>=60000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function sequential_fs at 0x7f01885c5f30>,<function base_classifier at 0x7f01885c60e0>,adult_sequential_fs_base_classifier_age_bins_>=60000,base_model,0.4210652455403952,-0.0601012774756793,-0.0375671210854037,0.8686787120218028,
0,<__main__.NamedDataset object at 0x7f01885e0af0>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",>=70000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function sequential_fs at 0x7f01885c5f30>,<function base_classifier at 0x7f01885c60e0>,adult_sequential_fs_base_classifier_age_bins_>=70000,base_model,0.3734893906076106,-0.0413138616892756,-0.0157291666666666,0.9063288583829616,
0,<__main__.NamedDataset object at 0x7f01885e0af0>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",>=80000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function sequential_fs at 0x7f01885c5f30>,<function base_classifier at 0x7f01885c60e0>,adult_sequential_fs_base_classifier_age_bins_>=80000,base_model,0.3274713471323263,-0.0365117515460469,-0.0374639599882318,0.9306550923589382,
0,<__main__.NamedDataset object at 0x7f01885e0af0>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",>=90000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function sequential_fs at 0x7f01885c5f30>,<function base_classifier at 0x7f01885c60e0>,adult_sequential_fs_base_classifier_age_bins_>=90000,base_model,0.3824456358747981,-0.0202798572964843,-0.0014629370937049,0.95306349046129,
0,<__main__.NamedDataset object at 0x7f01885e0af0>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('gender', ['Male'])",>=10000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function sequential_fs at 0x7f01885c5f30>,<function base_classifier at 0x7f01885c60e0>,adult_sequential_fs_base_classifier_gender_>=10000,base_model,0.8509218926270538,-0.1403803822450808,-0.073213376680473,0.8352679923286565,
