,data,features_cat,features_num,protected_attributes,p_att_description,target,etas,feat_dictionary,technique,model,dir_name,model_type,disparate_impact,statistical_parity_difference,equal_opportunity_difference,accuracy,eta
0,<__main__.NamedDataset object at 0x7f81bf06ae90>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss', 'education-num']","['sex', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",income-per-year,"[1, 10, 20]","{'hours-per-week': 3, 'capital-gain': 10, 'capital-loss': 5, 'education-num': 5, 'workclass': 7, 'education': 16, 'relationship': 6, 'occupation': 14}",<function sequential_fs at 0x7f8121cf9f30>,<function base_classifier at 0x7f8121cfa0e0>,adult_sequential_fs_base_classifier_age_bins,base_model,0.4491754122938531,-0.0981041388518024,-0.0666415861449918,0.8075179657269209,
0,<__main__.NamedDataset object at 0x7f81bf06ae90>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss', 'education-num']","['sex', 'race', 'age_bins', 'marital-status']","('marital-status', ['Married-civ-spouse'])",income-per-year,"[1, 10, 20]","{'hours-per-week': 3, 'capital-gain': 10, 'capital-loss': 5, 'education-num': 5, 'workclass': 7, 'education': 16, 'relationship': 6, 'occupation': 14}",<function sequential_fs at 0x7f8121cf9f30>,<function base_classifier at 0x7f8121cfa0e0>,adult_sequential_fs_base_classifier_marital-status,base_model,0.2210437073404382,-0.159510123116573,-0.0160349517256258,0.8075179657269209,
0,<__main__.NamedDataset object at 0x7f81bf06ae90>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss', 'education-num']","['sex', 'race', 'age_bins', 'marital-status']","('race', ['White'])",income-per-year,"[1, 10, 20]","{'hours-per-week': 3, 'capital-gain': 10, 'capital-loss': 5, 'education-num': 5, 'workclass': 7, 'education': 16, 'relationship': 6, 'occupation': 14}",<function sequential_fs at 0x7f8121cf9f30>,<function base_classifier at 0x7f8121cfa0e0>,adult_sequential_fs_base_classifier_race,base_model,0.6528228667694723,-0.043958287641146,-0.0295200586187946,0.8075179657269209,
0,<__main__.NamedDataset object at 0x7f81bf06ae90>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss', 'education-num']","['sex', 'race', 'age_bins', 'marital-status']","('sex', [1])",income-per-year,"[1, 10, 20]","{'hours-per-week': 3, 'capital-gain': 10, 'capital-loss': 5, 'education-num': 5, 'workclass': 7, 'education': 16, 'relationship': 6, 'occupation': 14}",<function sequential_fs at 0x7f8121cf9f30>,<function base_classifier at 0x7f8121cfa0e0>,adult_sequential_fs_base_classifier_sex,base_model,0.2664428223074894,-0.1152749667485722,-0.1785611188679356,0.8075179657269209,
0,<__main__.NamedDataset object at 0x7f81bf06ae90>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss', 'education-num']","['sex', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",income-per-year,"[1, 10, 20]","{'hours-per-week': 3, 'capital-gain': 10, 'capital-loss': 5, 'education-num': 5, 'workclass': 7, 'education': 16, 'relationship': 6, 'occupation': 14}",<function sequential_fs at 0x7f8121cf9f30>,<function fair_classifier at 0x7f8121cfa170>,adult_sequential_fs_fair_classifier_age_bins,fair_model,0.177878075924323,-0.2400355982702706,-0.320369440111396,0.8202992555465468,1.0
1,<__main__.NamedDataset object at 0x7f81bf06ae90>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss', 'education-num']","['sex', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",income-per-year,"[1, 10, 20]","{'hours-per-week': 3, 'capital-gain': 10, 'capital-loss': 5, 'education-num': 5, 'workclass': 7, 'education': 16, 'relationship': 6, 'occupation': 14}",<function sequential_fs at 0x7f8121cf9f30>,<function fair_classifier at 0x7f8121cfa170>,adult_sequential_fs_fair_classifier_age_bins,fair_model,0.1792740624763932,-0.2417247560516608,-0.3190364769232126,0.8194884646568881,10.0
2,<__main__.NamedDataset object at 0x7f81bf06ae90>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss', 'education-num']","['sex', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",income-per-year,"[1, 10, 20]","{'hours-per-week': 3, 'capital-gain': 10, 'capital-loss': 5, 'education-num': 5, 'workclass': 7, 'education': 16, 'relationship': 6, 'occupation': 14}",<function sequential_fs at 0x7f8121cf9f30>,<function fair_classifier at 0x7f8121cfa170>,adult_sequential_fs_fair_classifier_age_bins,fair_model,0.3177709490041144,-0.0801743629272537,-0.0765076805118578,0.8005454411439522,20.0
0,<__main__.NamedDataset object at 0x7f81bf06ae90>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss', 'education-num']","['sex', 'race', 'age_bins', 'marital-status']","('marital-status', ['Married-civ-spouse'])",income-per-year,"[1, 10, 20]","{'hours-per-week': 3, 'capital-gain': 10, 'capital-loss': 5, 'education-num': 5, 'workclass': 7, 'education': 16, 'relationship': 6, 'occupation': 14}",<function sequential_fs at 0x7f8121cf9f30>,<function fair_classifier at 0x7f8121cfa170>,adult_sequential_fs_fair_classifier_marital-status,fair_model,0.0930050669474011,-0.2179467629478899,-0.1422534911444141,0.8198570059703693,1.0
1,<__main__.NamedDataset object at 0x7f81bf06ae90>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss', 'education-num']","['sex', 'race', 'age_bins', 'marital-status']","('marital-status', ['Married-civ-spouse'])",income-per-year,"[1, 10, 20]","{'hours-per-week': 3, 'capital-gain': 10, 'capital-loss': 5, 'education-num': 5, 'workclass': 7, 'education': 16, 'relationship': 6, 'occupation': 14}",<function sequential_fs at 0x7f8121cf9f30>,<function fair_classifier at 0x7f8121cfa170>,adult_sequential_fs_fair_classifier_marital-status,fair_model,0.1440269670003151,-0.14932108543606,-0.0036986972070844,0.7863197464435763,10.0
2,<__main__.NamedDataset object at 0x7f81bf06ae90>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss', 'education-num']","['sex', 'race', 'age_bins', 'marital-status']","('marital-status', ['Married-civ-spouse'])",income-per-year,"[1, 10, 20]","{'hours-per-week': 3, 'capital-gain': 10, 'capital-loss': 5, 'education-num': 5, 'workclass': 7, 'education': 16, 'relationship': 6, 'occupation': 14}",<function sequential_fs at 0x7f8121cf9f30>,<function fair_classifier at 0x7f8121cfa170>,adult_sequential_fs_fair_classifier_marital-status,fair_model,1.197359532879832,0.0348007851471273,0.0485567098092643,0.6848971769735387,20.0
