,data,features_cat,features_num,protected_attributes,p_att_description,target,etas,feat_dictionary,technique,model,dir_name,model_type,disparate_impact,statistical_parity_difference,equal_opportunity_difference,accuracy,eta
0,<__main__.NamedDataset object at 0x7f333db3cb20>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",>=10000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function no_fselection at 0x7f333db29900>,<function base_classifier at 0x7f333db2a0e0>,adult_no_fselection_base_classifier_age_bins_>=10000,base_model,0.9059180305317496,-0.0890988143057371,-0.0161996965298852,0.8396083577268598,
0,<__main__.NamedDataset object at 0x7f333db3cb20>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",>=20000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function no_fselection at 0x7f333db29900>,<function base_classifier at 0x7f333db2a0e0>,adult_no_fselection_base_classifier_age_bins_>=20000,base_model,0.7685838503028701,-0.1777295641212067,-0.0237743628338108,0.7582517411930958,
0,<__main__.NamedDataset object at 0x7f333db3cb20>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",>=30000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function no_fselection at 0x7f333db29900>,<function base_classifier at 0x7f333db2a0e0>,adult_no_fselection_base_classifier_age_bins_>=30000,base_model,0.6881904437755575,-0.1561525081621877,-0.0186250738093144,0.7433128091248612,
0,<__main__.NamedDataset object at 0x7f333db3cb20>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",>=40000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function no_fselection at 0x7f333db29900>,<function base_classifier at 0x7f333db2a0e0>,adult_no_fselection_base_classifier_age_bins_>=40000,base_model,0.5533755381329057,-0.1421722995668027,-0.0461411259141129,0.7759160189764813,
0,<__main__.NamedDataset object at 0x7f333db3cb20>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",>=50000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function no_fselection at 0x7f333db29900>,<function base_classifier at 0x7f333db2a0e0>,adult_no_fselection_base_classifier_age_bins_>=50000,base_model,0.4934512147431677,-0.0890753160515192,-0.027915151637239,0.8210356313717574,
0,<__main__.NamedDataset object at 0x7f333db3cb20>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",>=60000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function no_fselection at 0x7f333db29900>,<function base_classifier at 0x7f333db2a0e0>,adult_no_fselection_base_classifier_age_bins_>=60000,base_model,0.4416068515274226,-0.0616657687799429,-0.0367544277013189,0.8644392853537902,
0,<__main__.NamedDataset object at 0x7f333db3cb20>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",>=70000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function no_fselection at 0x7f333db29900>,<function base_classifier at 0x7f333db2a0e0>,adult_no_fselection_base_classifier_age_bins_>=70000,base_model,0.4414570912695199,-0.0423048919218531,-0.0181770833333332,0.8991622085394165,
0,<__main__.NamedDataset object at 0x7f333db3cb20>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",>=80000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function no_fselection at 0x7f333db29900>,<function base_classifier at 0x7f333db2a0e0>,adult_no_fselection_base_classifier_age_bins_>=80000,base_model,0.3564157861988558,-0.0368151986708281,-0.035210355987055,0.9321691733117996,
0,<__main__.NamedDataset object at 0x7f333db3cb20>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",>=90000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function no_fselection at 0x7f333db29900>,<function base_classifier at 0x7f333db2a0e0>,adult_no_fselection_base_classifier_age_bins_>=90000,base_model,0.3213320757660641,-0.0289368474051016,-0.0461320163232981,0.9516503482386192,
0,<__main__.NamedDataset object at 0x7f333db3cb20>,"['workclass', 'relationship', 'occupation', 'education-num']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('gender', ['Male'])",>=10000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",<function no_fselection at 0x7f333db29900>,<function base_classifier at 0x7f333db2a0e0>,adult_no_fselection_base_classifier_gender_>=10000,base_model,0.8514839280515519,-0.1393348335223726,-0.0698656874995179,0.8396083577268598,
