,A,"I(X,A)",a,a_count,"I(X,Y|A=a)",Y,"I(X,A|Y=y)","I(X,Y)",bins
0,gender,0.3815201803906451,Female,14845.0,1.0402637946350286,0,0.32094898703493313,0.9785418739659107,"4,4,4,20"
1,gender,0.3815201803906451,Female,14845.0,1.0402637946350286,1,0.36748936408435495,0.9785418739659107,"4,4,4,20"
2,gender,0.3815201803906451,Female,14845.0,1.0402637946350286,2,0.38653894083623186,0.9785418739659107,"4,4,4,20"
3,gender,0.3815201803906451,Female,14845.0,1.0402637946350286,3,0.42370011447705536,0.9785418739659107,"4,4,4,20"
4,gender,0.3815201803906451,Female,14845.0,1.0402637946350286,4,0.45627318882825213,0.9785418739659107,"4,4,4,20"
5,gender,0.3815201803906451,Female,14845.0,1.0402637946350286,5,0.44515166981874454,0.9785418739659107,"4,4,4,20"
6,gender,0.3815201803906451,Female,14845.0,1.0402637946350286,6,0.4324516503744389,0.9785418739659107,"4,4,4,20"
7,gender,0.3815201803906451,Female,14845.0,1.0402637946350286,7,0.44575823450685537,0.9785418739659107,"4,4,4,20"
8,gender,0.3815201803906451,Female,14845.0,1.0402637946350286,8,0.4437722861789821,0.9785418739659107,"4,4,4,20"
9,gender,0.3815201803906451,Female,14845.0,1.0402637946350286,9,0.4123048863641686,0.9785418739659107,"4,4,4,20"
10,gender,0.3815201803906451,Female,14845.0,1.0402637946350286,10,0.4218030998621577,0.9785418739659107,"4,4,4,20"
11,gender,0.3815201803906451,Female,14845.0,1.0402637946350286,11,0.3938863968427375,0.9785418739659107,"4,4,4,20"
12,gender,0.3815201803906451,Female,14845.0,1.0402637946350286,12,0.4200475334794598,0.9785418739659107,"4,4,4,20"
13,gender,0.3815201803906451,Female,14845.0,1.0402637946350286,13,0.3727039662204146,0.9785418739659107,"4,4,4,20"
14,gender,0.3815201803906451,Female,14845.0,1.0402637946350286,14,0.37322491715470446,0.9785418739659107,"4,4,4,20"
15,gender,0.3815201803906451,Female,14845.0,1.0402637946350286,15,0.40205316870649455,0.9785418739659107,"4,4,4,20"
16,gender,0.3815201803906451,Female,14845.0,1.0402637946350286,16,0.3957257383292073,0.9785418739659107,"4,4,4,20"
17,gender,0.3815201803906451,Female,14845.0,1.0402637946350286,17,0.41659158063006485,0.9785418739659107,"4,4,4,20"
18,gender,0.3815201803906451,Female,14845.0,1.0402637946350286,18,0.34431788950198383,0.9785418739659107,"4,4,4,20"
19,gender,0.3815201803906451,Female,14845.0,1.0402637946350286,19,0.3592725163379089,0.9785418739659107,"4,4,4,20"
20,gender,0.3815201803906451,Male,31004.0,0.9810913131225506,0,0.32094898703493313,0.9785418739659107,"4,4,4,20"
21,gender,0.3815201803906451,Male,31004.0,0.9810913131225506,1,0.36748936408435495,0.9785418739659107,"4,4,4,20"
22,gender,0.3815201803906451,Male,31004.0,0.9810913131225506,2,0.38653894083623186,0.9785418739659107,"4,4,4,20"
23,gender,0.3815201803906451,Male,31004.0,0.9810913131225506,3,0.42370011447705536,0.9785418739659107,"4,4,4,20"
24,gender,0.3815201803906451,Male,31004.0,0.9810913131225506,4,0.45627318882825213,0.9785418739659107,"4,4,4,20"
25,gender,0.3815201803906451,Male,31004.0,0.9810913131225506,5,0.44515166981874454,0.9785418739659107,"4,4,4,20"
26,gender,0.3815201803906451,Male,31004.0,0.9810913131225506,6,0.4324516503744389,0.9785418739659107,"4,4,4,20"
27,gender,0.3815201803906451,Male,31004.0,0.9810913131225506,7,0.44575823450685537,0.9785418739659107,"4,4,4,20"
28,gender,0.3815201803906451,Male,31004.0,0.9810913131225506,8,0.4437722861789821,0.9785418739659107,"4,4,4,20"
29,gender,0.3815201803906451,Male,31004.0,0.9810913131225506,9,0.4123048863641686,0.9785418739659107,"4,4,4,20"
30,gender,0.3815201803906451,Male,31004.0,0.9810913131225506,10,0.4218030998621577,0.9785418739659107,"4,4,4,20"
31,gender,0.3815201803906451,Male,31004.0,0.9810913131225506,11,0.3938863968427375,0.9785418739659107,"4,4,4,20"
32,gender,0.3815201803906451,Male,31004.0,0.9810913131225506,12,0.4200475334794598,0.9785418739659107,"4,4,4,20"
33,gender,0.3815201803906451,Male,31004.0,0.9810913131225506,13,0.3727039662204146,0.9785418739659107,"4,4,4,20"
