,A,"I(X,A)",a,a_count,"I(X,Y|A=a)",Y,"I(X,A|Y=y)","I(X,Y)",bins
0,gender,0.38869887359068256,Female,14845.0,1.09509293242352,0,0.3235397653536589,1.0632237614832245,"5,8,5,20"
1,gender,0.38869887359068256,Female,14845.0,1.09509293242352,1,0.37004017961427327,1.0632237614832245,"5,8,5,20"
2,gender,0.38869887359068256,Female,14845.0,1.09509293242352,2,0.3952958912916626,1.0632237614832245,"5,8,5,20"
3,gender,0.38869887359068256,Female,14845.0,1.09509293242352,3,0.43980203922904554,1.0632237614832245,"5,8,5,20"
4,gender,0.38869887359068256,Female,14845.0,1.09509293242352,4,0.4720906467641003,1.0632237614832245,"5,8,5,20"
5,gender,0.38869887359068256,Female,14845.0,1.09509293242352,5,0.4561907759981009,1.0632237614832245,"5,8,5,20"
6,gender,0.38869887359068256,Female,14845.0,1.09509293242352,6,0.4458145590139448,1.0632237614832245,"5,8,5,20"
7,gender,0.38869887359068256,Female,14845.0,1.09509293242352,7,0.4545824752569584,1.0632237614832245,"5,8,5,20"
8,gender,0.38869887359068256,Female,14845.0,1.09509293242352,8,0.4504688704939135,1.0632237614832245,"5,8,5,20"
9,gender,0.38869887359068256,Female,14845.0,1.09509293242352,9,0.4210491918870155,1.0632237614832245,"5,8,5,20"
10,gender,0.38869887359068256,Female,14845.0,1.09509293242352,10,0.4341005522667557,1.0632237614832245,"5,8,5,20"
11,gender,0.38869887359068256,Female,14845.0,1.09509293242352,11,0.4018044130510786,1.0632237614832245,"5,8,5,20"
12,gender,0.38869887359068256,Female,14845.0,1.09509293242352,12,0.4248973960276754,1.0632237614832245,"5,8,5,20"
13,gender,0.38869887359068256,Female,14845.0,1.09509293242352,13,0.3877133016546208,1.0632237614832245,"5,8,5,20"
14,gender,0.38869887359068256,Female,14845.0,1.09509293242352,14,0.373422387628519,1.0632237614832245,"5,8,5,20"
15,gender,0.38869887359068256,Female,14845.0,1.09509293242352,15,0.405793366739732,1.0632237614832245,"5,8,5,20"
16,gender,0.38869887359068256,Female,14845.0,1.09509293242352,16,0.40101600617191097,1.0632237614832245,"5,8,5,20"
17,gender,0.38869887359068256,Female,14845.0,1.09509293242352,17,0.41550600356831247,1.0632237614832245,"5,8,5,20"
18,gender,0.38869887359068256,Female,14845.0,1.09509293242352,18,0.3443178895019839,1.0632237614832245,"5,8,5,20"
19,gender,0.38869887359068256,Female,14845.0,1.09509293242352,19,0.3648653618084473,1.0632237614832245,"5,8,5,20"
20,gender,0.38869887359068256,Male,31004.0,1.0823739527124738,0,0.3235397653536589,1.0632237614832245,"5,8,5,20"
21,gender,0.38869887359068256,Male,31004.0,1.0823739527124738,1,0.37004017961427327,1.0632237614832245,"5,8,5,20"
22,gender,0.38869887359068256,Male,31004.0,1.0823739527124738,2,0.3952958912916626,1.0632237614832245,"5,8,5,20"
23,gender,0.38869887359068256,Male,31004.0,1.0823739527124738,3,0.43980203922904554,1.0632237614832245,"5,8,5,20"
24,gender,0.38869887359068256,Male,31004.0,1.0823739527124738,4,0.4720906467641003,1.0632237614832245,"5,8,5,20"
25,gender,0.38869887359068256,Male,31004.0,1.0823739527124738,5,0.4561907759981009,1.0632237614832245,"5,8,5,20"
26,gender,0.38869887359068256,Male,31004.0,1.0823739527124738,6,0.4458145590139448,1.0632237614832245,"5,8,5,20"
27,gender,0.38869887359068256,Male,31004.0,1.0823739527124738,7,0.4545824752569584,1.0632237614832245,"5,8,5,20"
28,gender,0.38869887359068256,Male,31004.0,1.0823739527124738,8,0.4504688704939135,1.0632237614832245,"5,8,5,20"
29,gender,0.38869887359068256,Male,31004.0,1.0823739527124738,9,0.4210491918870155,1.0632237614832245,"5,8,5,20"
30,gender,0.38869887359068256,Male,31004.0,1.0823739527124738,10,0.4341005522667557,1.0632237614832245,"5,8,5,20"
31,gender,0.38869887359068256,Male,31004.0,1.0823739527124738,11,0.4018044130510786,1.0632237614832245,"5,8,5,20"
32,gender,0.38869887359068256,Male,31004.0,1.0823739527124738,12,0.4248973960276754,1.0632237614832245,"5,8,5,20"
33,gender,0.38869887359068256,Male,31004.0,1.0823739527124738,13,0.3877133016546208,1.0632237614832245,"5,8,5,20"
34,gender,0.38869887359068256,Male,31004.0,1.0823739527124738,14,0.373422387628519,1.0632237614832245,"5,8,5,20"
35,gender,0.38869887359068256,Male,31004.0,1.0823739527124738,15,0.405793366739732,1.0632237614832245,"5,8,5,20"
36,gender,0.38869887359068256,Male,31004.0,1.0823739527124738,16,0.40101600617191097,1.0632237614832245,"5,8,5,20"
37,gender,0.38869887359068256,Male,31004.0,1.0823739527124738,17,0.41550600356831247,1.0632237614832245,"5,8,5,20"
38,gender,0.38869887359068256,Male,31004.0,1.0823739527124738,18,0.3443178895019839,1.0632237614832245,"5,8,5,20"
39,gender,0.38869887359068256,Male,31004.0,1.0823739527124738,19,0.3648653618084473,1.0632237614832245,"5,8,5,20"
40,race,0.16237461108161078,Amer-Indian-Eskimo,436.0,2.233470288746997,0,0.296456944945494,1.0632237614832245,"5,8,5,20"
41,race,0.16237461108161078,Amer-Indian-Eskimo,436.0,2.233470288746997,1,0.2959275454275562,1.0632237614832245,"5,8,5,20"
42,race,0.16237461108161078,Amer-Indian-Eskimo,436.0,2.233470288746997,2,0.3112940487990009,1.0632237614832245,"5,8,5,20"
43,race,0.16237461108161078,Amer-Indian-Eskimo,436.0,2.233470288746997,3,0.3034281924059875,1.0632237614832245,"5,8,5,20"
44,race,0.16237461108161078,Amer-Indian-Eskimo,436.0,2.233470288746997,4,0.324095782925677,1.0632237614832245,"5,8,5,20"
45,race,0.16237461108161078,Amer-Indian-Eskimo,436.0,2.233470288746997,5,0.3028075580236832,1.0632237614832245,"5,8,5,20"
46,race,0.16237461108161078,Amer-Indian-Eskimo,436.0,2.233470288746997,6,0.2895202114656963,1.0632237614832245,"5,8,5,20"
47,race,0.16237461108161078,Amer-Indian-Eskimo,436.0,2.233470288746997,7,0.2874884570554835,1.0632237614832245,"5,8,5,20"
48,race,0.16237461108161078,Amer-Indian-Eskimo,436.0,2.233470288746997,8,0.2766263182818704,1.0632237614832245,"5,8,5,20"
